,popularity,genres,budget,revenue,title,runtime,vote_count,vote_average,release_year
0,32.985763,Action,150000000.0,1513528810.0,Jurassic World,124,5562.0,6.5,2015
1,32.985763,Adventure,150000000.0,1513528810.0,Jurassic World,124,5562.0,6.5,2015
2,32.985763,Science Fiction,150000000.0,1513528810.0,Jurassic World,124,5562.0,6.5,2015
3,32.985763,Thriller,150000000.0,1513528810.0,Jurassic World,124,5562.0,6.5,2015
4,28.419936,Action,150000000.0,378436354.0,Mad Max: Fury Road,120,6185.0,7.1,2015
5,28.419936,Adventure,150000000.0,378436354.0,Mad Max: Fury Road,120,6185.0,7.1,2015
6,28.419936,Science Fiction,150000000.0,378436354.0,Mad Max: Fury Road,120,6185.0,7.1,2015
7,28.419936,Thriller,150000000.0,378436354.0,Mad Max: Fury Road,120,6185.0,7.1,2015
8,13.112507,Adventure,110000000.0,295238201.0,Insurgent,119,2480.0,6.3,2015
9,13.112507,Science Fiction,110000000.0,295238201.0,Insurgent,119,2480.0,6.3,2015
10,13.112507,Thriller,110000000.0,295238201.0,Insurgent,119,2480.0,6.3,2015
11,11.173104,Action,200000000.0,2068178225.0,Star Wars: The Force Awakens,136,5292.0,7.5,2015
12,11.173104,Adventure,200000000.0,2068178225.0,Star Wars: The Force Awakens,136,5292.0,7.5,2015
13,11.173104,Science Fiction,200000000.0,2068178225.0,Star Wars: The Force Awakens,136,5292.0,7.5,2015
14,11.173104,Fantasy,200000000.0,2068178225.0,Star Wars: The Force Awakens,136,5292.0,7.5,2015
15,9.335014,Action,190000000.0,1506249360.0,Furious 7,137,2947.0,7.3,2015
16,9.335014,Crime,190000000.0,1506249360.0,Furious 7,137,2947.0,7.3,2015
17,9.335014,Thriller,190000000.0,1506249360.0,Furious 7,137,2947.0,7.3,2015
18,9.1107,Western,135000000.0,532950503.0,The Revenant,156,3929.0,7.2,2015
19,9.1107,Drama,135000000.0,532950503.0,The Revenant,156,3929.0,7.2,2015
20,9.1107,Adventure,135000000.0,532950503.0,The Revenant,156,3929.0,7.2,2015
21,9.1107,Thriller,135000000.0,532950503.0,The Revenant,156,3929.0,7.2,2015
22,8.654359,Science Fiction,155000000.0,440603537.0,Terminator Genisys,125,2598.0,5.8,2015
23,8.654359,Action,155000000.0,440603537.0,Terminator Genisys,125,2598.0,5.8,2015
24,8.654359,Thriller,155000000.0,440603537.0,Terminator Genisys,125,2598.0,5.8,2015
25,8.654359,Adventure,155000000.0,440603537.0,Terminator Genisys,125,2598.0,5.8,2015
26,7.6674,Drama,108000000.0,595380321.0,The Martian,141,4572.0,7.6,2015
27,7.6674,Adventure,108000000.0,595380321.0,The Martian,141,4572.0,7.6,2015
28,7.6674,Science Fiction,108000000.0,595380321.0,The Martian,141,4572.0,7.6,2015
29,7.40416499999999,Family,74000000.0,1156730962.0,Minions,91,2893.0,6.5,2015
30,7.40416499999999,Animation,74000000.0,1156730962.0,Minions,91,2893.0,6.5,2015
31,7.40416499999999,Adventure,74000000.0,1156730962.0,Minions,91,2893.0,6.5,2015
